Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Scan Entered Kit;2022-01-01 07:00:00;2022-01-01 07:00:00;2022-01-01 07:02:42;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Put on Rack;2022-01-01 07:02:42;2022-01-01 07:02:42;2022-01-01 07:07:02;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Assign Washing Machine;2022-01-01 07:07:02;2022-01-01 07:17:45;2022-01-01 07:19:22;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Instrumental normal;2022-01-01 07:19:22;2022-01-01 07:19:22;2022-01-01 08:29:22;Lavadora_#2;1;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
1;Free Washing Machine;2022-01-01 08:29:22;2022-01-01 08:29:22;2022-01-01 08:30:59;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;Assembly;2022-01-01 08:30:59;2022-01-01 08:30:59;2022-01-01 08:35:19;Usuario_AV;;;;
1;Assign Sterilization Machine;2022-01-01 08:35:19;2022-01-01 08:35:19;2022-01-01 08:36:56;Usuario_AV;1;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;PRIONES;2022-01-01 08:36:56;2022-01-01 08:36:56;2022-01-01 10:21:56;Autoclave_#2;1;sid-C2BAE868-4117-4EC9-965B-EB16ABA26E8A;PARALLEL;
1;Free Sterilization Machine;2022-01-01 10:21:56;2022-01-01 10:26:54;2022-01-01 10:31:14;Usuario_AV;1;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Scan Entered Kit;2022-01-01 07:02:42;2022-01-01 07:07:02;2022-01-01 07:17:45;Usuario_AV;2;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Put on Rack;2022-01-01 07:17:45;2022-01-01 07:22:46;2022-01-01 07:39:55;Usuario_AV;2;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Assign Washing Machine;2022-01-01 07:39:55;2022-01-01 07:39:55;2022-01-01 07:41:57;Usuario_AV;3;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Instrumental normal;2022-01-01 07:41:57;2022-01-01 07:41:57;2022-01-01 08:51:57;Lavadora_#1;3;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
2;Free Washing Machine;2022-01-01 08:51:57;2022-01-01 08:55:48;2022-01-01 09:02:14;Usuario_AV;2;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;Assembly;2022-01-01 09:02:14;2022-01-01 09:07:40;2022-01-01 09:26:03;Usuario_AV;;;;
2;Assign Sterilization Machine;2022-01-01 09:26:03;2022-01-01 09:26:03;2022-01-01 09:32:56;Usuario_AV;4;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;INTRUM;2022-01-01 09:32:56;2022-01-01 09:32:56;2022-01-01 10:52:56;Autoclave_#3;2;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
2;Free Sterilization Machine;2022-01-01 10:52:56;2022-01-01 10:55:27;2022-01-01 11:00:53;Usuario_AV;3;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
