Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
1;Entrada Material Sucio;2022-03-26 08:00:00;2022-03-26 09:00:00;2022-03-26 09:24:19;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
1;Cargado en carro L+D;2022-03-26 09:24:19;2022-03-26 09:24:19;2022-03-26 09:33:19;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
1;Carga L+D iniciada;2022-03-26 09:33:19;2022-03-26 09:33:19;2022-03-26 10:25:38;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
1;Carga L+D liberada;2022-03-26 10:25:38;2022-03-26 10:25:38;2022-03-26 10:53:50;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
1;Montaje;2022-03-26 10:53:50;2022-03-26 10:53:50;2022-03-26 10:54:50;Usuario_AV;;;;
1;Producción montada;2022-03-26 10:54:50;2022-03-26 10:54:50;2022-03-26 11:05:50;Usuario_AV;;;;
1;Composición de cargas;2022-03-26 11:05:50;2022-03-26 11:05:50;2022-03-26 12:43:52;Usuario_AV;2;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
1;Carga de esterilizador liberada;2022-03-26 12:43:52;2022-03-26 12:43:52;2022-03-26 13:11:52;Usuario_AV;3;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
2;Entrada Material Sucio;2022-03-26 08:06:39;2022-03-26 09:00:00;2022-03-26 09:24:19;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
2;Cargado en carro L+D;2022-03-26 09:24:19;2022-03-26 09:24:19;2022-03-26 09:33:19;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
2;Carga L+D iniciada;2022-03-26 09:33:19;2022-03-26 09:33:19;2022-03-26 10:25:38;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
2;Carga L+D liberada;2022-03-26 10:25:38;2022-03-26 10:25:38;2022-03-26 10:53:50;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
2;Montaje;2022-03-26 10:53:50;2022-03-26 10:53:50;2022-03-26 10:56:50;Usuario_AV;;;;
2;Producción montada;2022-03-26 10:56:50;2022-03-26 11:01:36;2022-03-26 11:20:36;Usuario_AV;;;;
2;Composición de cargas;2022-03-26 11:20:36;2022-03-26 11:27:07;2022-03-26 12:52:03;Usuario_AV;4;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
2;Carga de esterilizador liberada;2022-03-26 12:52:03;2022-03-26 12:52:31;2022-03-26 13:16:31;Usuario_AV;4;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
3;Entrada Material Sucio;2022-03-26 08:25:40;2022-03-26 09:00:00;2022-03-26 09:24:19;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
3;Cargado en carro L+D;2022-03-26 09:24:19;2022-03-26 09:24:19;2022-03-26 09:33:19;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
3;Carga L+D iniciada;2022-03-26 09:33:19;2022-03-26 09:33:19;2022-03-26 10:25:38;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
3;Carga L+D liberada;2022-03-26 10:25:38;2022-03-26 10:25:38;2022-03-26 10:53:50;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
3;Montaje;2022-03-26 10:53:50;2022-03-26 10:53:50;2022-03-26 10:53:50;Usuario_AV;;;;
3;Producción montada;2022-03-26 10:53:50;2022-03-26 10:53:50;2022-03-26 11:05:50;Usuario_AV;;;;
3;Composición de cargas;2022-03-26 11:05:50;2022-03-26 11:05:50;2022-03-26 12:43:52;Usuario_AV;2;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
3;Carga de esterilizador liberada;2022-03-26 12:43:52;2022-03-26 12:43:52;2022-03-26 13:11:52;Usuario_AV;3;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
4;Entrada Material Sucio;2022-03-26 08:36:41;2022-03-26 09:00:00;2022-03-26 09:24:19;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
4;Cargado en carro L+D;2022-03-26 09:24:19;2022-03-26 09:24:19;2022-03-26 09:33:19;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
4;Carga L+D iniciada;2022-03-26 09:33:19;2022-03-26 09:33:19;2022-03-26 10:25:38;Usuario_AV;1;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
4;Carga L+D liberada;2022-03-26 10:25:38;2022-03-26 10:25:38;2022-03-26 10:53:50;Usuario_AV;1;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
4;Montaje;2022-03-26 10:53:50;2022-03-26 10:53:50;2022-03-26 10:54:50;Usuario_AV;;;;
4;Producción montada;2022-03-26 10:54:50;2022-03-26 10:56:49;2022-03-26 11:19:49;Usuario_AV;;;;
4;Composición de cargas;2022-03-26 11:19:49;2022-03-26 11:20:36;2022-03-26 12:42:39;Usuario_AV;3;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
4;Carga de esterilizador liberada;2022-03-26 12:42:39;2022-03-26 12:42:41;2022-03-26 12:56:41;Usuario_AV;2;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
5;Entrada Material Sucio;2022-03-26 08:49:09;2022-03-26 09:00:00;2022-03-26 09:24:19;Usuario_AV;1;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
5;Cargado en carro L+D;2022-03-26 09:24:19;2022-03-26 09:24:19;2022-03-26 09:33:19;Usuario_AV;1;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
