process_cycle,repetition
Comisionado,12333
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",3535
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",3457
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",2462
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",2032
Entrada Material Sucio,1397
"Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",561
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",443
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",251
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",229
"Montaje, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",192
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada",177
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",168
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",165
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",149
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",142
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",119
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",111
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",111
"Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",105
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",88
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada",85
"Montaje, Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",84
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",80
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Comisionado",80
"Montaje, Producción montada, Montaje, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",76
