id,code,ns,count
DEP-QUI.TRA.ACUMED-3,DEP-QUI.TRA.ACUMED,3,1.0
DEP-QUI.TRA.STRYK-25,DEP-QUI.TRA.STRYK,25,1.0
EQP-QUI.TRA.OPT-5,EQP-QUI.TRA.OPT,5,1.0
EXT-CCEE.002-0,EXT-CCEE.002,0,4.0
EXT-FARMACIA-0,EXT-FARMACIA,0,10.0
EXT-HOS.001-0,EXT-HOS.001,0,2.0
EXT-HOS.002-0,EXT-HOS.002,0,4.0
EXT-HOS.004-0,EXT-HOS.004,0,3.0
EXT-HOS.005-0,EXT-HOS.005,0,2.0
EXT-HOS.008-0,EXT-HOS.008,0,8.0
EXT-HOS.009-0,EXT-HOS.009,0,12.0
EXT-HOS.NEO.002-0,EXT-HOS.NEO.002,0,1.0
EXT-HOS.ORL.PFONATO-0,EXT-HOS.ORL.PFONATO,0,3.0
EXT-MNUC.SUELTO-0,EXT-MNUC.SUELTO,0,6.0
EXT-PFUNC.001-0,EXT-PFUNC.001,0,1.0
EXT-QUI.006-0,EXT-QUI.006,0,3.0
EXT-QUI.011-0,EXT-QUI.011,0,2.0
EXT-QUI.012-0,EXT-QUI.012,0,9.0
EXT-QUI.013-0,EXT-QUI.013,0,10.0
EXT-QUI.014-0,EXT-QUI.014,0,2.0
EXT-QUI.015-0,EXT-QUI.015,0,2.0
EXT-QUI.016-0,EXT-QUI.016,0,4.0
EXT-QUI.017-0,EXT-QUI.017,0,6.0
EXT-QUI.495NCS-0,EXT-QUI.495NCS,0,2.0
EXT-QUI.CPL.001-0,EXT-QUI.CPL.001,0,3.0
EXT-QUI.FIADOR-0,EXT-QUI.FIADOR,0,1.0
EXT-QUI.GOMA-0,EXT-QUI.GOMA,0,2.0
EXT-QUI.HARM-0,EXT-QUI.HARM,0,2.0
EXT-QUI.KIRSCHNER-0,EXT-QUI.KIRSCHNER,0,10.0
EXT-QUI.NEUR.011-0,EXT-QUI.NEUR.011,0,1.0
EXT-QUI.OMS800.01-0,EXT-QUI.OMS800.01,0,3.0
EXT-QUI.OMS800.03-0,EXT-QUI.OMS800.03,0,2.0
EXT-QUI.OMS800.05-0,EXT-QUI.OMS800.05,0,2.0
EXT-QUI.URO.010-0,EXT-QUI.URO.010,0,2.0
EXT-RADV.SUELTO-0,EXT-RADV.SUELTO,0,3.0
EXT-UCI.MAQUET-0,EXT-UCI.MAQUET,0,2.0
EXT-URG.001-0,EXT-URG.001,0,10.0
EXT-URG.002-0,EXT-URG.002,0,7.0
EXT-URPA.MAQUET-0,EXT-URPA.MAQUET,0,2.0
HGY-ELECT.CAJA-0,HGY-ELECT.CAJA,0,6.0
HGY-ELECT.SUELTO-0,HGY-ELECT.SUELTO,0,5.0
HGY-HADO.SUELTO-0,HGY-HADO.SUELTO,0,3.0
HGY-HEMO.CAJA-0,HGY-HEMO.CAJA,0,3.0
HGY-PTM.SUELTO-0,HGY-PTM.SUELTO,0,4.0
HGY-QUI.NF.SUELTO-0,HGY-QUI.NF.SUELTO,0,2.0
HGY-QUI.ORL.845219-0,HGY-QUI.ORL.845219,0,1.0
HGY-QUI.TRA-1,HGY-QUI.TRA,1,1.0
HGY-QUI.URG.SUELTO-0,HGY-QUI.URG.SUELTO,0,1.0
HGY-REH.SUELTO-0,HGY-REH.SUELTO,0,1.0
HNB-ANE.002-1,HNB-ANE.002,1,1.0
HNB-ANE.002-2,HNB-ANE.002,2,1.0
HNB-OFT.004-2,HNB-OFT.004,2,1.0
HNB-OFT.013-1,HNB-OFT.013,1,1.0
HNB-OFT.013-2,HNB-OFT.013,2,1.0
HUBU-CCEE.CGD.BC106R-0,HUBU-CCEE.CGD.BC106R,0,1.0
HUBU-CCEE.CGD.BC326R-0,HUBU-CCEE.CGD.BC326R,0,1.0
HUBU-CCEE.CGD.BD045R-0,HUBU-CCEE.CGD.BD045R,0,2.0
HUBU-CCEE.CGD.BD049R-0,HUBU-CCEE.CGD.BD049R,0,2.0
HUBU-CCEE.CGD.BD555R-0,HUBU-CCEE.CGD.BD555R,0,2.0
HUBU-CCEE.CGD.BD559R-0,HUBU-CCEE.CGD.BD559R,0,2.0
HUBU-CCEE.CGD.BH110R-0,HUBU-CCEE.CGD.BH110R,0,2.0
HUBU-CCEE.CGD.BH111R-0,HUBU-CCEE.CGD.BH111R,0,2.0
HUBU-CCEE.CGD.BN104R-0,HUBU-CCEE.CGD.BN104R,0,2.0
HUBU-CCEE.CGD.BN134R-0,HUBU-CCEE.CGD.BN134R,0,2.0
HUBU-CCEE.CIN.BC060R-0,HUBU-CCEE.CIN.BC060R,0,2.0
HUBU-CCEE.CIN.BC061R-0,HUBU-CCEE.CIN.BC061R,0,2.0
HUBU-CCEE.CIN.BD222R-0,HUBU-CCEE.CIN.BD222R,0,2.0
HUBU-CCEE.CIN.BD511R-0,HUBU-CCEE.CIN.BD511R,0,3.0
HUBU-CCEE.CIN.BH110R-0,HUBU-CCEE.CIN.BH110R,0,1.0
HUBU-CCEE.CIN.BH111R-0,HUBU-CCEE.CIN.BH111R,0,3.0
HUBU-CCEE.CIN.BN004R-0,HUBU-CCEE.CIN.BN004R,0,2.0
HUBU-CCEE.CPL.BC106R-0,HUBU-CCEE.CPL.BC106R,0,2.0
HUBU-CCEE.CPL.BC981R-0,HUBU-CCEE.CPL.BC981R,0,1.0
HUBU-CCEE.CPL.BD029R-0,HUBU-CCEE.CPL.BD029R,0,5.0
HUBU-CCEE.CPL.BD222R-0,HUBU-CCEE.CPL.BD222R,0,3.0
HUBU-CCEE.CPL.BH110R-0,HUBU-CCEE.CPL.BH110R,0,2.0
HUBU-CCEE.CPL.BH111R-0,HUBU-CCEE.CPL.BH111R,0,1.0
HUBU-CCEE.CPL.BM111R-0,HUBU-CCEE.CPL.BM111R,0,2.0
HUBU-CCEE.CPL.DP530R-0,HUBU-CCEE.CPL.DP530R,0,1.0
HUBU-CCEE.CPL.OK105R-0,HUBU-CCEE.CPL.OK105R,0,2.0
HUBU-CCEE.CV.BC106R-0,HUBU-CCEE.CV.BC106R,0,2.0
HUBU-CCEE.CV.BC107R-0,HUBU-CCEE.CV.BC107R,0,2.0
HUBU-CCEE.CV.BC326R-0,HUBU-CCEE.CV.BC326R,0,1.0
HUBU-CCEE.CV.BC863R-0,HUBU-CCEE.CV.BC863R,0,1.0
HUBU-CCEE.CV.BD049R-0,HUBU-CCEE.CV.BD049R,0,2.0
HUBU-CCEE.CV.BD222R-0,HUBU-CCEE.CV.BD222R,0,4.0
HUBU-CCEE.CV.BD511R-0,HUBU-CCEE.CV.BD511R,0,4.0
HUBU-CCEE.CV.BD559R-0,HUBU-CCEE.CV.BD559R,0,2.0
HUBU-CCEE.CV.BH415R-0,HUBU-CCEE.CV.BH415R,0,1.0
HUBU-CCEE.CV.HF234R-0,HUBU-CCEE.CV.HF234R,0,1.0
HUBU-CCEE.CV.LX582R-0,HUBU-CCEE.CV.LX582R,0,1.0
HUBU-CCEE.DER.BB073R-0,HUBU-CCEE.DER.BB073R,0,2.0
HUBU-CCEE.DER.BC020R-0,HUBU-CCEE.DER.BC020R,0,4.0
HUBU-CCEE.DER.BC110R-0,HUBU-CCEE.DER.BC110R,0,4.0
HUBU-CCEE.DER.BC156R-0,HUBU-CCEE.DER.BC156R,0,2.0
HUBU-CCEE.DER.BC171R-0,HUBU-CCEE.DER.BC171R,0,2.0
HUBU-CCEE.DER.BD222R-0,HUBU-CCEE.DER.BD222R,0,8.0
HUBU-CCEE.DER.BD511R-0,HUBU-CCEE.DER.BD511R,0,3.0
HUBU-CCEE.DER.BH110R-0,HUBU-CCEE.DER.BH110R,0,2.0
HUBU-CCEE.DER.BH111R-0,HUBU-CCEE.DER.BH111R,0,2.0
HUBU-CCEE.DER.BM205R-0,HUBU-CCEE.DER.BM205R,0,4.0
HUBU-CCEE.DER.FF321R-0,HUBU-CCEE.DER.FF321R,0,1.0
HUBU-CCEE.DER.FK614R-0,HUBU-CCEE.DER.FK614R,0,8.0
HUBU-CCEE.DER.FK615R-0,HUBU-CCEE.DER.FK615R,0,2.0
HUBU-CCEE.DER.HF234R-0,HUBU-CCEE.DER.HF234R,0,1.0
HUBU-CCEE.EST.BD049R-0,HUBU-CCEE.EST.BD049R,0,1.0
HUBU-CCEE.GIN.AN711R-0,HUBU-CCEE.GIN.AN711R,0,2.0
HUBU-CCEE.GIN.BC106R-0,HUBU-CCEE.GIN.BC106R,0,2.0
HUBU-CCEE.GIN.BC330R-0,HUBU-CCEE.GIN.BC330R,0,1.0
HUBU-CCEE.GIN.BC426R-0,HUBU-CCEE.GIN.BC426R,0,2.0
HUBU-CCEE.GIN.BC428R-0,HUBU-CCEE.GIN.BC428R,0,1.0
HUBU-CCEE.GIN.BC604R-0,HUBU-CCEE.GIN.BC604R,0,2.0
HUBU-CCEE.GIN.BC607R-0,HUBU-CCEE.GIN.BC607R,0,2.0
HUBU-CCEE.GIN.BD049R-0,HUBU-CCEE.GIN.BD049R,0,1.0
HUBU-CCEE.GIN.BD050R-0,HUBU-CCEE.GIN.BD050R,0,1.0
HUBU-CCEE.GIN.BD222R-0,HUBU-CCEE.GIN.BD222R,0,3.0
HUBU-CCEE.GIN.BD560R-0,HUBU-CCEE.GIN.BD560R,0,1.0
HUBU-CCEE.GIN.BD672R-0,HUBU-CCEE.GIN.BD672R,0,1.0
HUBU-CCEE.GIN.BH110R-0,HUBU-CCEE.GIN.BH110R,0,4.0
HUBU-CCEE.GIN.BH120R-0,HUBU-CCEE.GIN.BH120R,0,2.0
HUBU-CCEE.GIN.BH446R-0,HUBU-CCEE.GIN.BH446R,0,2.0
HUBU-CCEE.GIN.BH447R-0,HUBU-CCEE.GIN.BH447R,0,1.0
HUBU-CCEE.GIN.BH646R-0,HUBU-CCEE.GIN.BH646R,0,3.0
