r.KitID,r.DurationBetweenSterilizations,r.CycleNumber,DurationDifference
CONT-QUI.OFT-1,31,1,
CONT-QUI.CPL-2,0,1,
CONT-QUI.ORL-3,1076,1,
CONT-QUI.OFT-1,1142,1,1111.0
CONT-QUI.NEUR-2,1357,1,
CONT-QUI.GINE-1,1204,1,
TRAN-QUI.TRA.STRYKER-3,1366,1,
TRAN-QUI.TRA.STRYKER-2,1366,1,
CONT-QUI.TRA-2,1328,1,
CONT-QUI.TRA-1,155,1,
HGY-QUI.CP.CAJA-0,71,1,
CONT-QUI.CG-2,131,1,
CONT-QUI.TRA-1,137,1,-18.0
CONT-QUI.OFT-1,121,1,-1021.0
CONT-QUI.CV-5,1196,1,
CONT-QUI.TRA-2,1336,1,8.0
CONT-QUI.TRA-4,1194,1,
CONT-QUI.CG-2,1345,1,1214.0
CONT-QUI.TRA-2,87,1,-1249.0
CONT-QUI.CPL-2,422,1,422.0
HGY-QUI.TRA.CAJA-0,0,1,
HGY-QUI.TRA.CAJA-0,0,1,0.0
CONT-QUI.ORL-1,292,1,
TRAN-QUI.TRA.STRYKER-1,0,1,
TRAN-QUI.TRA.STRYKER-1,0,1,0.0
TRAN-QUI.TRA.STRYKER-1,0,1,0.0
TRAN-QUI.TRA.STRYKER-1,0,1,0.0
TRAN-QUI.TRA.STRYKER-1,0,1,0.0
CONT-QUI.OFT-1,2,1,-119.0
CONT-QUI.TRA-1,86,1,-51.0
CONT-QUI.CG-2,165,1,-1180.0
CONT-QUI.NEUR-1,1433,1,
CONT-QUI.CPL-3,215,1,
HGY-QUI.TRA.CAJA-0,281,1,281.0
CONT-QUI.NEUR-2,1161,1,-196.0
CONT-QUI.CPL-2,1054,1,632.0
CONT-QUI.CV-5,6,1,-1190.0
HGY-QUI.TRA.CAJA-0,0,1,-281.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
CONT-QUI.OFT-1,256,1,254.0
CONT-QUI.CG-2,1288,1,1123.0
CONT-QUI.GINE-1,92,1,-1112.0
CONT-QUI.CG-2,130,1,-1158.0
EQP-QUI.CG.OPT-4,1,1,
CONT-QUI.OFT-1,31,1,-225.0
CONT-QUI.CPL-1,96,1,
CONT-HOS.CARD-1,6,1,
CONT-QUI.TRA-1,48,1,-38.0
HNB-CG.008-2,1,1,
CONT-QUI.TRA-4,1268,1,74.0
CONT-QUI.NEUR-2,0,1,-1161.0
CONT-QUI.NEUR-2,0,1,0.0
CONT-QUI.NEUR-2,312,1,312.0
CONT-HOS.UCIA-2,30,1,
CONT-CCEE.CPL-2,1431,1,
CONT-CCEE.GINE-4,2,1,
CONT-QUI.CPL-4,1165,1,
CONT-QUI.CPL-2,1329,1,275.0
CONT-HOS.GINE-1,24,1,
CONT-QUI.CV-1,1231,1,
TRAN-QUI.TRA.STRYKER-1,1,1,1.0
CONT-QUI.CV-5,1396,1,1390.0
CONT-QUI.GINE-1,1136,1,1044.0
CONT-QUI.NEUR-2,1369,1,1057.0
CONT-QUI.OFT-2,1310,1,
CONT-QUI.TRA-1,43,1,-5.0
CONT-QUI.OFT-1,178,1,147.0
CONT-QUI.CPL-2,202,1,-1127.0
CONT-QUI.GINE-1,119,1,-1017.0
CONT-QUI.CG-2,1430,1,1300.0
CONT-QUI.GINE-1,128,1,9.0
CONT-QUI.CG-4,191,1,
HNB-TR.010-4,2,1,
HUBU-TR.006-3,2,1,
DEP-QUI.TRA.STRYK-21,2,1,
HUBU-TR.019-1,2,1,
