id,code,ns,count
012047 L2901-0,012047 L2901,0,1.0
DEP-QUI.BTF-1,DEP-QUI.BTF,1,1.0
DEP-QUI.CPL.STRYK-2,DEP-QUI.CPL.STRYK,2,1.0
DEP-QUI.CPL.SYNTHES-1,DEP-QUI.CPL.SYNTHES,1,1.0
DEP-QUI.GIN-1,DEP-QUI.GIN,1,1.0
DEP-QUI.GIN-2,DEP-QUI.GIN,2,1.0
DEP-QUI.NEUR.SYNTHES-1,DEP-QUI.NEUR.SYNTHES,1,1.0
DEP-QUI.NEUR.SYNTHES-2,DEP-QUI.NEUR.SYNTHES,2,1.0
DEP-QUI.NEUR.SYNTHES-3,DEP-QUI.NEUR.SYNTHES,3,1.0
DEP-QUI.ORL.MEDTRO-1,DEP-QUI.ORL.MEDTRO,1,1.0
DEP-QUI.TR.FUTURIMP-1,DEP-QUI.TR.FUTURIMP,1,1.0
DEP-QUI.TRA-12,DEP-QUI.TRA,12,1.0
DEP-QUI.TRA-2,DEP-QUI.TRA,2,1.0
DEP-QUI.TRA-5,DEP-QUI.TRA,5,1.0
DEP-QUI.TRA-6,DEP-QUI.TRA,6,1.0
DEP-QUI.TRA-7,DEP-QUI.TRA,7,1.0
DEP-QUI.TRA-8,DEP-QUI.TRA,8,1.0
DEP-QUI.TRA.ACUFEX-4,DEP-QUI.TRA.ACUFEX,4,1.0
DEP-QUI.TRA.ACUMED-1,DEP-QUI.TRA.ACUMED,1,1.0
DEP-QUI.TRA.ACUMED-2,DEP-QUI.TRA.ACUMED,2,1.0
DEP-QUI.TRA.ACUMED-4,DEP-QUI.TRA.ACUMED,4,1.0
DEP-QUI.TRA.ACUMED-5,DEP-QUI.TRA.ACUMED,5,1.0
DEP-QUI.TRA.ACUMED-6,DEP-QUI.TRA.ACUMED,6,1.0
DEP-QUI.TRA.ACUMED-9,DEP-QUI.TRA.ACUMED,9,1.0
DEP-QUI.TRA.BIOMET-10,DEP-QUI.TRA.BIOMET,10,1.0
DEP-QUI.TRA.BIOMET-11,DEP-QUI.TRA.BIOMET,11,1.0
DEP-QUI.TRA.BIOMET-12,DEP-QUI.TRA.BIOMET,12,1.0
DEP-QUI.TRA.BIOMET-19,DEP-QUI.TRA.BIOMET,19,1.0
DEP-QUI.TRA.BIOMET-20,DEP-QUI.TRA.BIOMET,20,1.0
DEP-QUI.TRA.BIOMET-21,DEP-QUI.TRA.BIOMET,21,1.0
DEP-QUI.TRA.BIOMET-22,DEP-QUI.TRA.BIOMET,22,1.0
DEP-QUI.TRA.BIOMET-23,DEP-QUI.TRA.BIOMET,23,1.0
DEP-QUI.TRA.BIOMET-24,DEP-QUI.TRA.BIOMET,24,1.0
DEP-QUI.TRA.BIOMET-25,DEP-QUI.TRA.BIOMET,25,1.0
DEP-QUI.TRA.BIOMET-26,DEP-QUI.TRA.BIOMET,26,1.0
DEP-QUI.TRA.BIOMET-30,DEP-QUI.TRA.BIOMET,30,1.0
DEP-QUI.TRA.BIOMET-7,DEP-QUI.TRA.BIOMET,7,1.0
DEP-QUI.TRA.BIOMET-8,DEP-QUI.TRA.BIOMET,8,1.0
DEP-QUI.TRA.BIOMET-9,DEP-QUI.TRA.BIOMET,9,1.0
DEP-QUI.TRA.CERAVER-1,DEP-QUI.TRA.CERAVER,1,1.0
