0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,bm,bpm,timestamp-diff
HUBU-QUI.CPL.LX157R-0,HUBU-QUI.CPL.LX159R-0,HUBU-QUI.CPL.LX159R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1605,b1605,0 days 00:00:00
HUBU-QUI.CPL.LX157R-0,HUBU-QUI.CPL.BT040R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b5,b5,0 days 00:00:00
HUBU-QUI.CPL.LX157R-0,EXT-QUI.015-0,EXT-QUI.015-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3308,b3308,0 days 00:00:00
HUBU-QUI.CPL.LX157R-0,HUBU-QUI.CPL.BT030R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b281,b31106,0 days 00:00:00
HUBU-QUI.CPL.LX157R-0,HUBU-QUI.CPL.FO918A-0,HUBU-QUI.TR.FO118R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b29012,b29012,0 days 00:00:00
HUBU-QUI.CPL.BT040R-0,HUBU-QUI.CPL.JG522R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b327350,b327350,0 days 00:00:00
HUBU-QUI.CPL.BT030R-0,HUBU-QUI.TR.FK176R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b38489,b38489,0 days 00:00:00
HUBU-QUI.CPL.BT030R-0,HUBU-QUI.CPL.BT030R-0,HUBU-QUI.TR.FK176R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b38489,b28615,23 days 01:00:00
HUBU-QUI.CPL.BT030R-0,HUBU-QUI.SUELTO-0,HUBU-HOS.GINE.EL044R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3803,b3803,0 days 00:00:00
HUBU-QUI.CPL.BT030R-0,HUBU-QUI.CPL.BT030R-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b41725,
