id,e.Usuario,e.timestamp,e.Activity,e.KitID,e.NS,e.Código,r.CaseID
0,LI,2022-01-01 21:29:00+00:00,Montaje,HNB-CG.007-7,7,HNB-CG.007,HNB-CG.007-7-CN101
1,LI,2022-01-01 20:11:00+00:00,Entrada Material Sucio,HNB-CG.007-7,7,HNB-CG.007,HNB-CG.007-7-CN101
2,LI,2022-01-01 21:28:00+00:00,Carga L+D liberada,HNB-CG.007-7,7,HNB-CG.007,HNB-CG.007-7-CN101
3,LI,2022-01-01 21:31:00+00:00,Producción montada,HNB-CG.007-7,7,HNB-CG.007,HNB-CG.007-7-CN101
4,LI,2022-01-01 20:16:00+00:00,Cargado en carro L+D,HNB-CG.007-7,7,HNB-CG.007,HNB-CG.007-7-CN101
5,LI,2022-01-01 20:16:00+00:00,Carga L+D iniciada,HNB-CG.007-7,7,HNB-CG.007,HNB-CG.007-7-CN101
6,LI,2022-01-01 21:38:00+00:00,Composición de cargas,HNB-CG.007-7,7,HNB-CG.007,HNB-CG.007-7-CN101
7,LI,2022-01-01 21:28:00+00:00,Carga L+D liberada,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN102
8,LI,2022-01-01 20:16:00+00:00,Carga L+D iniciada,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN102
9,LI,2022-01-01 21:35:00+00:00,Producción montada,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN102
10,LI,2022-01-01 20:16:00+00:00,Cargado en carro L+D,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN102
11,LI,2022-01-01 21:38:00+00:00,Composición de cargas,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN102
12,LI,2022-01-01 21:33:00+00:00,Montaje,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN102
13,LI,2022-01-01 20:11:00+00:00,Entrada Material Sucio,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN102
14,LI,2022-01-01 20:29:00+00:00,Composición de cargas,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
15,LI,2022-01-01 18:47:00+00:00,Entrada Material Sucio,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
16,LI,2022-01-01 20:06:00+00:00,Carga L+D liberada,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
17,LI,2022-01-01 19:01:00+00:00,Carga L+D iniciada,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
18,LI,2022-01-01 20:29:00+00:00,Producción montada,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
19,LI,2022-01-01 19:01:00+00:00,Cargado en carro L+D,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
20,LI,2022-01-01 21:46:00+00:00,Carga de esterilizador liberada,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
21,LI,2022-01-01 20:29:00+00:00,Montaje,EQP-QUI.URO.010-3,3,EQP-QUI.URO.010,EQP-QUI.URO.010-3-CN55
22,LI,2022-01-01 21:38:00+00:00,Composición de cargas,HNB-CV.001-5,5,HNB-CV.001,HNB-CV.001-5-CN56
23,LI,2022-01-01 20:06:00+00:00,Carga L+D liberada,HNB-CV.001-5,5,HNB-CV.001,HNB-CV.001-5-CN56
