,e.Usuario,e.timestamp,e.Activity,e.KitID,e.NS,e.Código,r.CaseID
0,LI,2022-03-27 20:32:00+00:00,Montaje,HNB-CG.001-2,2,HNB-CG.001,HNB-CG.001-2-CN33901
1,LI,2022-03-27 20:43:00+00:00,Producción montada,HNB-CG.001-2,2,HNB-CG.001,HNB-CG.001-2-CN33901
2,LI,2022-03-27 19:15:00+00:00,Entrada Material Sucio,HNB-CG.001-2,2,HNB-CG.001,HNB-CG.001-2-CN33901
3,LI,2022-03-27 19:25:00+00:00,Carga L+D iniciada,HNB-CG.001-2,2,HNB-CG.001,HNB-CG.001-2-CN33901
4,LI,2022-03-27 20:49:00+00:00,Composición de cargas,HNB-CG.001-2,2,HNB-CG.001,HNB-CG.001-2-CN33901
5,LI,2022-03-27 19:25:00+00:00,Cargado en carro L+D,HNB-CG.001-2,2,HNB-CG.001,HNB-CG.001-2-CN33901
6,LI,2022-03-27 20:31:00+00:00,Carga L+D liberada,HNB-CG.001-2,2,HNB-CG.001,HNB-CG.001-2-CN33901
7,LI,2022-03-27 20:59:00+00:00,Entrada Material Sucio,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN33902
8,LI,2022-03-27 21:05:00+00:00,Cargado en carro L+D,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN33902
9,LI,2022-03-27 21:06:00+00:00,Carga L+D iniciada,HNB-CG.007-1,1,HNB-CG.007,HNB-CG.007-1-CN33902
10,LI,2022-03-27 21:05:00+00:00,Cargado en carro L+D,HUBU-GIN.016-2,2,HUBU-GIN.016,HUBU-GIN.016-2-CN33903
11,LI,2022-03-27 20:59:00+00:00,Entrada Material Sucio,HUBU-GIN.016-2,2,HUBU-GIN.016,HUBU-GIN.016-2-CN33903
12,LI,2022-03-27 21:06:00+00:00,Carga L+D iniciada,HUBU-GIN.016-2,2,HUBU-GIN.016,HUBU-GIN.016-2-CN33903
13,ER,2022-03-27 07:34:00+00:00,Cargado en carro L+D,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
14,ER,2022-03-27 10:32:00+00:00,Carga de esterilizador liberada,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
15,ER,2022-03-27 09:01:00+00:00,Composición de cargas,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
16,ER,2022-03-27 07:34:00+00:00,Carga L+D iniciada,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
17,ER,2022-03-27 08:53:00+00:00,Carga L+D liberada,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
18,ER,2022-03-27 08:53:00+00:00,Montaje,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
19,ER,2022-03-27 08:54:00+00:00,Producción montada,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
20,ER,2022-03-27 07:32:00+00:00,Entrada Material Sucio,HUBU-URG.005-3,3,HUBU-URG.005,HUBU-URG.005-3-CN33846
21,ER,2022-03-27 09:01:00+00:00,Composición de cargas,HUBU-GIN.016-3,3,HUBU-GIN.016,HUBU-GIN.016-3-CN33845
22,ER,2022-03-27 10:32:00+00:00,Carga de esterilizador liberada,HUBU-GIN.016-3,3,HUBU-GIN.016,HUBU-GIN.016-3-CN33845
23,ER,2022-03-27 08:08:00+00:00,Cargado en carro L+D,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
24,ER,2022-03-27 09:12:00+00:00,Carga L+D liberada,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
25,ER,2022-03-27 09:52:00+00:00,Composición de cargas,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
26,ER,2022-03-27 07:48:00+00:00,Entrada Material Sucio,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
27,ER,2022-03-27 09:31:00+00:00,Producción montada,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
28,ER,2022-03-27 11:35:00+00:00,Carga de esterilizador liberada,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
29,ER,2022-03-27 08:13:00+00:00,Carga L+D iniciada,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
30,ER,2022-03-27 09:27:00+00:00,Montaje,HNB-GIN.009-9,9,HNB-GIN.009,HNB-GIN.009-9-CN33848
31,LI,2022-03-27 18:39:00+00:00,Composición de cargas,HUBU-HOS.ORL.BH442R-0,0,HUBU-HOS.ORL.BH442R,HUBU-HOS.ORL.BH442R-0-CN33897
32,LI,2022-03-27 17:15:00+00:00,Carga L+D iniciada,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BH442R-0-CN33897
33,LI,2022-03-27 18:29:00+00:00,Carga L+D liberada,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BH442R-0-CN33897
34,LI,2022-03-27 17:15:00+00:00,Cargado en carro L+D,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BH442R-0-CN33897
35,LI,2022-03-27 17:03:00+00:00,Entrada Material Sucio,CONT-HOS.ORL-2,2,CONT-HOS.ORL,HUBU-HOS.ORL.BH442R-0-CN33897
36,LI,2022-03-27 19:55:00+00:00,Carga de esterilizador liberada,HUBU-HOS.ORL.BH442R-0,0,HUBU-HOS.ORL.BH442R,HUBU-HOS.ORL.BH442R-0-CN33897
37,LI,2022-03-27 18:34:00+00:00,Producción montada,HUBU-HOS.ORL.BH442R-0,0,HUBU-HOS.ORL.BH442R,HUBU-HOS.ORL.BH442R-0-CN33897
38,LI,2022-03-27 18:34:00+00:00,Montaje,HUBU-HOS.ORL.BH442R-0,0,HUBU-HOS.ORL.BH442R,HUBU-HOS.ORL.BH442R-0-CN33897
39,LI,2022-03-27 17:03:00+00:00,Entrada Material Sucio,CONT-HOS.GINE-4,4,CONT-HOS.GINE,HUBU-HOS.GINE.BD561R-0-CN33896
40,LI,2022-03-27 18:29:00+00:00,Carga L+D liberada,CONT-HOS.GINE-4,4,CONT-HOS.GINE,HUBU-HOS.GINE.BD561R-0-CN33896
41,LI,2022-03-27 17:15:00+00:00,Cargado en carro L+D,CONT-HOS.GINE-4,4,CONT-HOS.GINE,HUBU-HOS.GINE.BD561R-0-CN33896
42,LI,2022-03-27 17:15:00+00:00,Carga L+D iniciada,CONT-HOS.GINE-4,4,CONT-HOS.GINE,HUBU-HOS.GINE.BD561R-0-CN33896
43,LI,2022-03-27 18:39:00+00:00,Composición de cargas,HUBU-HOS.GINE.BD561R-0,0,HUBU-HOS.GINE.BD561R,HUBU-HOS.GINE.BD561R-0-CN33896
44,LI,2022-03-27 18:33:00+00:00,Montaje,HUBU-HOS.GINE.BD561R-0,0,HUBU-HOS.GINE.BD561R,HUBU-HOS.GINE.BD561R-0-CN33896
45,LI,2022-03-27 18:33:00+00:00,Producción montada,HUBU-HOS.GINE.BD561R-0,0,HUBU-HOS.GINE.BD561R,HUBU-HOS.GINE.BD561R-0-CN33896
46,LI,2022-03-27 19:55:00+00:00,Carga de esterilizador liberada,HUBU-HOS.GINE.BD561R-0,0,HUBU-HOS.GINE.BD561R,HUBU-HOS.GINE.BD561R-0-CN33896
47,LI,2022-03-27 17:15:00+00:00,Cargado en carro L+D,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.AN381R-0-CN33893
48,LI,2022-03-27 17:03:00+00:00,Entrada Material Sucio,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.AN381R-0-CN33893
49,LI,2022-03-27 18:29:00+00:00,Carga L+D liberada,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.AN381R-0-CN33893
50,LI,2022-03-27 17:15:00+00:00,Carga L+D iniciada,CONT-HOS.URO-2,2,CONT-HOS.URO,HUBU-HOS.URO.AN381R-0-CN33893
51,LI,2022-03-27 18:39:00+00:00,Composición de cargas,HUBU-HOS.URO.AN381R-0,0,HUBU-HOS.URO.AN381R,HUBU-HOS.URO.AN381R-0-CN33893
52,LI,2022-03-27 19:55:00+00:00,Carga de esterilizador liberada,HUBU-HOS.URO.AN381R-0,0,HUBU-HOS.URO.AN381R,HUBU-HOS.URO.AN381R-0-CN33893
53,LI,2022-03-27 18:32:00+00:00,Producción montada,HUBU-HOS.URO.AN381R-0,0,HUBU-HOS.URO.AN381R,HUBU-HOS.URO.AN381R-0-CN33893
54,LI,2022-03-27 18:32:00+00:00,Montaje,HUBU-HOS.URO.AN381R-0,0,HUBU-HOS.URO.AN381R,HUBU-HOS.URO.AN381R-0-CN33893
55,ER,2022-03-27 10:32:00+00:00,Carga de esterilizador liberada,HUBU-URG.ORL.BN004R-0,0,HUBU-URG.ORL.BN004R,HUBU-URG.ORL.BN004R-0-CN33856
56,ER,2022-03-27 08:58:00+00:00,Producción montada,HUBU-URG.ORL.BN004R-0,0,HUBU-URG.ORL.BN004R,HUBU-URG.ORL.BN004R-0-CN33856
57,ER,2022-03-27 08:58:00+00:00,Montaje,HUBU-URG.ORL.BN004R-0,0,HUBU-URG.ORL.BN004R,HUBU-URG.ORL.BN004R-0-CN33856
58,ER,2022-03-27 09:01:00+00:00,Composición de cargas,HUBU-URG.ORL.BN004R-0,0,HUBU-URG.ORL.BN004R,HUBU-URG.ORL.BN004R-0-CN33856
59,LI,2022-03-27 17:44:00+00:00,Entrada Material Sucio,HNB-GIN.014-17,17,HNB-GIN.014,HNB-GIN.014-17-CN33890
60,LI,2022-03-27 20:48:00+00:00,Composición de cargas,HNB-GIN.014-17,17,HNB-GIN.014,HNB-GIN.014-17-CN33890
61,LI,2022-03-27 20:44:00+00:00,Montaje,HNB-GIN.014-17,17,HNB-GIN.014,HNB-GIN.014-17-CN33890
62,LI,2022-03-27 19:25:00+00:00,Cargado en carro L+D,HNB-GIN.014-17,17,HNB-GIN.014,HNB-GIN.014-17-CN33890
63,LI,2022-03-27 19:25:00+00:00,Carga L+D iniciada,HNB-GIN.014-17,17,HNB-GIN.014,HNB-GIN.014-17-CN33890
64,LI,2022-03-27 20:46:00+00:00,Producción montada,HNB-GIN.014-17,17,HNB-GIN.014,HNB-GIN.014-17-CN33890
65,LI,2022-03-27 20:31:00+00:00,Carga L+D liberada,HNB-GIN.014-17,17,HNB-GIN.014,HNB-GIN.014-17-CN33890
66,LI,2022-03-27 20:49:00+00:00,Composición de cargas,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
67,ER,2022-03-27 13:58:00+00:00,Entrada Material Sucio,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
68,LI,2022-03-27 15:48:00+00:00,Montaje,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
69,LI,2022-03-27 15:58:00+00:00,Producción montada,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
70,LI,2022-03-27 15:31:00+00:00,Carga L+D liberada,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
71,ER,2022-03-27 14:06:00+00:00,Carga L+D iniciada,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
72,ER,2022-03-27 14:06:00+00:00,Cargado en carro L+D,HNB-CG.012-4,4,HNB-CG.012,HNB-CG.012-4-CN33873
