e1.Activity,e1.timestamp,Batch,e2.Activity,e2.timestamp,e8.CaseID,e3.Activity,e3.timestamp,e4.Activity,e4.timestamp,e5.Activity,e5.timestamp,e6.Activity,e6.timestamp,e7.Activity,e7.timestamp,e8.Activity,e8.timestamp
Entrada Material Sucio,1/1/22 7:21,1,Cargado en carro L+D,1/1/22 8:28,HUBU-URG.005-8-CN3,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:24,Produccion montada,1/1/22 10:30,Composicion de cargas,1/1/22 10:56,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 7:21,1,#VALUE!,44562.35278,HUBU-URG.005-3-CN4,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:37,Produccion montada,1/1/22 10:38,Composicion de cargas,1/1/22 10:56,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 7:46,1,#VALUE!,44562.35278,HNB-GIN.015-9-CN7,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:03,Produccion montada,1/1/22 10:05,Composicion de cargas,1/1/22 10:55,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 7:46,1,#VALUE!,44562.35278,HNB-GIN.014-21-CN10,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:11,Produccion montada,1/1/22 10:18,Composicion de cargas,1/1/22 10:55,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 7:46,1,#VALUE!,44562.35278,HUBU-URG.BH111R-0-CN16,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:44,Produccion montada,1/1/22 10:44,Composicion de cargas,1/1/22 10:56,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 7:46,1,#VALUE!,44562.35278,HUBU-QUI.PAR.BF122R-0-CN17,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:50,Produccion montada,1/1/22 10:50,Composicion de cargas,1/1/22 10:56,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 7:46,1,#VALUE!,44562.35278,HUBU-QUI.PAR.BB175R-0-CN19,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:50,Produccion montada,1/1/22 10:50,Composicion de cargas,1/1/22 10:56,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 7:46,1,#VALUE!,44562.35278,HUBU-QUI.CPL.LX159R-0-CN21,Carga L+D iniciada,1/1/22 8:29,Carga L+D liberada,1/1/22 9:41,Montaje,1/1/22 10:54,Produccion montada,1/1/22 10:54,Composicion de cargas,1/1/22 10:56,Carga de esterilizador liberada,1/1/22 12:27
Entrada Material Sucio,1/1/22 16:54,2,#VALUE!,44563.35278,HUBU-HOS.CPL.BD222R-0-CN53,Carga L+D iniciada,1/1/22 16:58,Carga L+D liberada,1/1/22 18:16,Montaje,1/1/22 18:23,Produccion montada,1/1/22 18:23,Composicion de cargas,1/1/22 18:25,Carga de esterilizador liberada,1/1/22 19:38
Entrada Material Sucio,1/1/22 16:54,2,#VALUE!,44563.35278,HUBU-HOS.TRA.BD049R-0-CN54,Carga L+D iniciada,1/1/22 16:58,Carga L+D liberada,1/1/22 18:16,Montaje,1/1/22 18:24,Produccion montada,1/1/22 18:24,Composicion de cargas,1/1/22 18:25,Carga de esterilizador liberada,1/1/22 19:38
